Recommender,K,Precision,Recall,F1,NDCG,MRR,MAP,ItemCoverage,Novelty,ItemFairness
HGCF,1,0.20996818663838812,0.014652693316977702,0.027393708418786217,0.21153846153846154,1.0,0.06926727749844006,0.004780400358530027,2841.455991516437,0.8098488865323437
HGCF,5,0.15609756097560978,0.049702605986677965,0.0753979521316315,0.1701280871408707,0.662479674796748,0.07147859878400031,0.011353450851508814,2893.7107104984098,0.743991739688564
HGCF,10,0.1308589607635207,0.08327193750665848,0.10177773773812929,0.15808481179130313,0.5396550956831331,0.06980117486995084,0.016731401254855095,2825.3363732767766,0.6858468413876686
HGCF,20,0.10424178154825028,0.1300429871333126,0.1157216726714124,0.15514990831969655,0.4531498048025057,0.06921024197360919,0.02599342694950702,2525.0094909862146,0.631730476225302
HGCF,30,0.08621420996818666,0.15925712829874794,0.11186827427606183,0.15661815645095462,0.4305508927252111,0.07071704007561555,0.03674932775619958,2191.284234711912,0.6343848698296103
HGCF,40,0.08621420996818666,0.15925712829874794,0.11186827427606183,0.14903388914040883,0.4305508927252111,0.07071704007561555,0.03674932775619958,2191.284234711912,0.6343848698296103
HGCF,50,0.08621420996818666,0.15925712829874794,0.11186827427606183,0.1452061962747479,0.4305508927252111,0.07071704007561555,0.03674932775619958,2191.284234711912,0.6343848698296103
LightGCN,1,0.34701986754966885,0.02871812461687307,0.05304632487845391,0.3505016722408027,1.0,0.08193434408821612,0.10606513295488497,1976.3003311258278,0.7711733980039175
LightGCN,5,0.26903973509933776,0.0998187312329137,0.14561251786296323,0.29522855492119027,0.6952510288065843,0.09843481976643775,0.2195996414699731,1823.5662251655629,0.8009155291255574
LightGCN,10,0.2246523178807947,0.1590808572780246,0.18626423583616888,0.27712894253971376,0.6175845784742469,0.1099371385162939,0.292500746937556,1706.1067715231786,0.8022916342530898
LightGCN,20,0.17903145695364242,0.2417674030216015,0.2057228501493669,0.27584156637048235,0.5658750386234629,0.12291653702688592,0.3863161039737078,1545.56815397351,0.7993634855026812
LightGCN,30,0.15369757174392937,0.30227328959270033,0.2037791207853019,0.2864335354682142,0.546595832569512,0.13134348865784065,0.4499551837466388,1428.4532450331126,0.7955382077283215
LightGCN,40,0.13709850993377484,0.3506399753200775,0.19712292383316096,0.29940887025723284,0.5361499596839979,0.13746268888488067,0.4995518374663878,1334.6767839403972,0.7921032975933966
LightGCN,50,0.1245794701986755,0.39148859865573343,0.18901166397532876,0.3120900709039958,0.5284247664538066,0.14179953511397933,0.5419778906483418,1257.3451059602648,0.7893406215089408
NGCF,1,0.2860927152317881,0.026590936899459825,0.048659232974101206,0.28896321070234116,1.0,0.0920218765386399,0.3426949507021213,1097.3344370860927,0.6010407224143606
NGCF,5,0.24380794701986752,0.10303101009870425,0.14484981306734104,0.2644877021306733,0.6375143325143325,0.09475791980728929,0.5557215416791156,1124.9005298013244,0.6968944669942321
NGCF,10,0.2150993377483444,0.17188438337832895,0.19107892666037385,0.26221176031972626,0.5542316660325265,0.10544079709842259,0.6525246489393487,1119.6152649006624,0.7232094188923659
NGCF,20,0.18130794701986758,0.2726560399412441,0.21779131501261026,0.2780102461714787,0.5080876233223297,0.12160828950448194,0.7397669554825217,1091.9442466887417,0.7393651905979522
NGCF,30,0.1597682119205298,0.34442110822818306,0.2182812781241517,0.2973457734410857,0.49306283031941206,0.132573045294352,0.7842844338213325,1062.7763079470199,0.7441184484389783
NGCF,40,0.14478476821192052,0.4036662739647339,0.21312650871808805,0.3163532529413112,0.4848002059650404,0.14055497615211549,0.8126680609501046,1035.7063824503311,0.74467482713284
NGCF,50,0.1330794701986755,0.45285188816146726,0.20570767717114005,0.3333497592711001,0.48044074250883,0.14699324210734563,0.8389602629220198,1009.9208344370861,0.7457326724967454
ALS,1,0.19718543046357617,0.021863469475698175,0.03936251349527854,0.19916387959866222,1.0,0.1097762783078716,0.3627128772034658,731.812582781457,0.5320962937909816
ALS,5,0.17582781456953642,0.09109309713884021,0.12001083084709188,0.19091444417950182,0.5730131666193048,0.08986037603864856,0.5383925903794443,820.0068874172185,0.6160202056581723
ALS,10,0.1630132450331126,0.15717898948942557,0.1600429639769619,0.2017026931027729,0.46662164650991467,0.09066420472919794,0.6068120705109052,873.2165231788081,0.6459385322207766
ALS,20,0.14466887417218544,0.257461338121961,0.18524667279524692,0.23046096254462772,0.412571676095323,0.1003766960675592,0.6671646250373469,924.6179718543048,0.6700106544517369
ALS,30,0.13160044150110378,0.33179300357336333,0.18845370482189328,0.2563954809386623,0.3974978361530765,0.10909170189541201,0.7039139527935464,938.3823123620309,0.681474395372109
ALS,40,0.12175496688741723,0.3912880471288632,0.18572034671582172,0.27834253048876473,0.3906687211876586,0.11592930288316924,0.7314012548550941,935.0903932119205,0.6874989043630697
ALS,50,0.11374503311258277,0.43975572835576443,0.180740600069201,0.2967483482833869,0.38653436250151657,0.12118130890286247,0.7511204063340304,922.7443874172186,0.6888994320546661
